timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration,syn_flag,rst_flag,fin_flag,ack_flag,psh_flag,urg_flag,failed,scenario_id,label
1700102000.777481,198.51.100.55,192.168.1.50,55394,8546,6,1,60,0.12763721098515624,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102001.4991672,198.51.100.55,192.168.1.50,51673,1187,6,1,60,0.1969210699231713,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102002.3106265,198.51.100.55,192.168.1.50,54887,7102,6,1,60,0.06641224953304659,1,0,0,0,0,0,False,trace_recon_gamma,PortScan
1700102003.0262232,198.51.100.55,192.168.1.50,45439,3385,6,1,60,0.1035533795564167,1,0,0,0,0,0,False,trace_recon_gamma,PortScan
1700102003.251069,198.51.100.55,192.168.1.50,46358,3621,6,1,60,0.08059103802870002,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102003.3067677,198.51.100.55,192.168.1.50,54294,959,6,1,60,0.11500663805832018,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102003.8635967,198.51.100.55,192.168.1.50,51020,7328,6,2,120,0.19756081995260227,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102004.1837213,198.51.100.55,192.168.1.50,45087,6283,6,2,120,0.055419868989604236,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102004.2451699,198.51.100.55,192.168.1.50,52898,5283,6,2,120,0.049212752332216066,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102004.627221,198.51.100.55,192.168.1.50,48493,7803,6,1,60,0.15554692274576642,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102004.9207814,198.51.100.55,192.168.1.50,47347,6516,6,2,120,0.18144002226769593,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102005.0713897,198.51.100.55,192.168.1.50,48542,2487,6,1,60,0.19908488088527476,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102005.3265839,198.51.100.55,192.168.1.50,48976,8096,6,2,120,0.08569536063390559,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102005.6495416,198.51.100.55,192.168.1.50,48675,8991,6,2,120,0.14256508320208844,1,0,0,0,0,0,False,trace_recon_gamma,PortScan
1700102005.792976,198.51.100.55,192.168.1.50,47214,1424,6,1,60,0.18602966007305252,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102005.889396,198.51.100.55,192.168.1.50,56964,4047,6,2,120,0.029345834981693936,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102006.0354824,198.51.100.55,192.168.1.50,55565,5788,6,1,60,0.17452966266182807,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102007.1760805,198.51.100.55,192.168.1.50,55181,7213,6,1,60,0.036332769324233696,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102007.4840238,198.51.100.55,192.168.1.50,45738,1872,6,2,120,0.03809034776437577,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102007.6596978,198.51.100.55,192.168.1.50,49095,9837,6,2,120,0.11819530391946091,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102007.7579834,198.51.100.55,192.168.1.50,43941,5786,6,2,120,0.04163998821148296,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
1700102007.9506066,198.51.100.55,192.168.1.50,55368,5741,6,1,60,0.11977517825895395,1,1,0,0,0,0,True,trace_recon_gamma,PortScan
