timestamp,src_ip,dst_ip,src_port,dst_port,protocol,packets,bytes,duration,syn_flag,rst_flag,fin_flag,ack_flag,psh_flag,urg_flag,failed,scenario_id,label
1700402000.1896544,192.168.1.50,192.168.1.10,62450,445,6,67,33433,1.4971526024265658,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402000.842588,192.168.1.50,192.168.1.10,57303,3389,6,29,10556,5.704590810105201,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402001.3360937,192.168.1.50,192.168.1.10,53516,139,6,79,46768,8.99617779996721,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402001.4361577,192.168.1.50,192.168.1.10,60143,3389,6,72,16488,9.1635476214664,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402001.575872,192.168.1.50,192.168.1.10,60146,3389,6,55,22825,6.454597967977675,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402002.3508337,192.168.1.50,192.168.1.10,53643,445,6,23,12604,6.136201822072121,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402003.2560205,192.168.1.50,192.168.1.10,54593,3389,6,71,29394,3.034047097258585,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402003.7671235,192.168.1.50,192.168.1.10,58808,139,6,40,20360,8.971729691231861,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402004.0466275,192.168.1.50,192.168.1.10,61240,445,6,76,32224,2.3611255691351762,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402004.172226,192.168.1.50,192.168.1.10,52637,139,6,73,14016,7.142705797640923,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402004.7441745,192.168.1.50,192.168.1.10,57439,139,6,32,11776,9.034238434213908,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402004.8510442,192.168.1.50,192.168.1.10,64984,445,6,64,33792,9.523876597606339,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402004.8991692,192.168.1.50,192.168.1.10,60364,139,6,39,15678,6.885827855493542,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402005.0681493,192.168.1.50,192.168.1.10,64583,3389,6,44,9372,8.807761549043118,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402005.240533,192.168.1.50,192.168.1.10,54909,445,6,32,18432,8.761404445366036,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402005.428495,192.168.1.50,192.168.1.10,52138,139,6,61,31903,6.240568857253217,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402005.8410895,192.168.1.50,192.168.1.10,63905,3389,6,74,22866,4.145503237540854,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402006.0252676,192.168.1.50,192.168.1.10,64216,3389,6,30,4560,6.374957376214775,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402007.2747624,192.168.1.50,192.168.1.10,49848,445,6,60,22620,4.881115226612823,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402007.35998,192.168.1.50,192.168.1.10,50143,445,6,31,8091,5.878437047878654,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402007.6016462,192.168.1.50,192.168.1.10,61693,3389,6,68,19652,8.427302089736365,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402007.7833586,192.168.1.50,192.168.1.10,57891,445,6,69,21597,1.152539691749344,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402007.8686352,192.168.1.50,192.168.1.10,62937,139,6,79,20382,5.335572737347711,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402008.435346,192.168.1.50,192.168.1.10,54211,139,6,45,6975,2.7601659104317147,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402008.5698118,192.168.1.50,192.168.1.10,56875,139,6,22,4884,2.2827255369232837,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402008.7708127,192.168.1.50,192.168.1.10,63687,445,6,45,23760,6.419927952785927,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402009.1207573,192.168.1.50,192.168.1.10,52782,139,6,77,24178,2.473559813834487,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402009.1361074,192.168.1.50,192.168.1.10,58877,139,6,37,14208,3.928110076072648,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402009.5291064,192.168.1.50,192.168.1.10,60593,139,6,63,16443,7.678880453651109,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402010.1177545,192.168.1.50,192.168.1.10,49306,445,6,41,12628,6.369553179906011,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402010.727125,192.168.1.50,192.168.1.10,61612,139,6,76,28348,9.493238607495954,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402010.9139485,192.168.1.50,192.168.1.10,51224,139,6,46,17296,8.714091766046757,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402010.933046,192.168.1.50,192.168.1.10,49608,139,6,57,29127,2.5513133052876364,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402010.9936504,192.168.1.50,192.168.1.10,56808,139,6,73,25842,2.224720262154057,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402011.2913494,192.168.1.50,192.168.1.10,57290,139,6,57,12027,2.3556080684296594,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402011.7283742,192.168.1.50,192.168.1.10,60727,3389,6,72,25488,6.642665292397373,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402012.7568862,192.168.1.50,192.168.1.10,56115,3389,6,70,34020,9.32566347116271,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402012.7958474,192.168.1.50,192.168.1.10,58772,445,6,30,7740,9.811784841204934,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402013.0667698,192.168.1.50,192.168.1.10,50658,3389,6,74,20572,3.7464586656185785,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402013.2268922,192.168.1.50,192.168.1.10,50590,139,6,34,10676,4.359889334659718,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402013.6482115,192.168.1.50,192.168.1.10,52311,139,6,32,17312,2.071109022538357,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402013.7172518,192.168.1.50,192.168.1.10,63850,139,6,57,9975,4.613056670461212,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402014.2513418,192.168.1.50,192.168.1.10,57413,3389,6,55,24035,6.191444896859682,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402014.3217804,192.168.1.50,192.168.1.10,52957,3389,6,47,17672,8.813843075367156,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402014.3538778,192.168.1.50,192.168.1.10,55499,3389,6,66,11814,1.795347120830407,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402014.9972625,192.168.1.50,192.168.1.10,53331,3389,6,66,22374,7.21850562274572,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402015.5183992,192.168.1.50,192.168.1.10,59217,3389,6,73,11534,9.942984150406158,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402015.6575968,192.168.1.50,192.168.1.10,62771,139,6,60,14880,1.1779114874391694,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402015.8370953,192.168.1.50,192.168.1.10,61774,139,6,27,14553,7.407993588044093,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402016.0322065,192.168.1.50,192.168.1.10,55842,3389,6,76,39976,8.733187274821262,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402016.5531614,192.168.1.50,192.168.1.10,58565,3389,6,66,29238,7.17364122485415,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402016.603028,192.168.1.50,192.168.1.10,65073,445,6,46,11270,2.244319963215251,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402016.6111045,192.168.1.50,192.168.1.10,63479,445,6,60,28080,1.4495244080588132,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402017.0543692,192.168.1.50,192.168.1.10,64336,3389,6,75,40725,5.595632958822861,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402017.5964518,192.168.1.50,192.168.1.10,53011,139,6,29,13891,4.434009241176783,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402018.279903,192.168.1.50,192.168.1.10,53885,139,6,49,15141,4.51334663298309,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402019.100129,192.168.1.50,192.168.1.10,58727,445,6,25,8675,8.836845186295076,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402019.5185947,192.168.1.50,192.168.1.10,63856,139,6,38,8816,2.9854967902843903,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
1700402019.7267058,192.168.1.50,192.168.1.10,58968,3389,6,68,21284,5.5885704418219015,1,0,1,1,1,0,False,trace_lateral_02,Infiltration
